
"Acrimony","신랄"
"Anointing Master Sapper changes nothing.","일급 공병 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Master Sapper will give you","일급 공병 성유를 부으면 다음 효과를 제공"
"Anointing Master of Blades changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 칼날의 대가 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Master of Blades changes nothing because this node is already anointed.","이 노드에는 이미 칼날의 대가 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Master of Blades changes nothing.","칼날의 대가 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Master of Blades will give you","칼날의 대가 성유를 부으면 다음 효과를 제공"
"Anointing Master of the Arena changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 투기장의 대가 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Master of the Arena changes nothing because this node is already anointed.","이 노드에는 이미 투기장의 대가 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Master of the Arena changes nothing.","투기장의 대가 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Master of the Arena will give you","투기장의 대가 성유를 부으면 다음 효과를 제공"
"Anointing Measured Fury changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 계획적인 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Measured Fury changes nothing because this node is already anointed.","이 노드에는 이미 계획적인 광분 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Measured Fury changes nothing.","계획적인 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Measured Fury will give you","계획적인 광분 성유를 부으면 다음 효과를 제공"
"Anointing Melding changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 융합 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Melding changes nothing because this node is already anointed.","이 노드에는 이미 융합 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Melding changes nothing.","융합 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Melding will give you","융합 성유를 부으면 다음 효과를 제공"
"Anointing Mental Rapidity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신속한 정신 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mental Rapidity changes nothing because this node is already anointed.","이 노드에는 이미 신속한 정신 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Mental Rapidity changes nothing.","신속한 정신 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mental Rapidity will give you","신속한 정신 성유를 부으면 다음 효과를 제공"
"Anointing Merciless Skewering changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 무자비한 꿰뚫기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Merciless Skewering changes nothing because this node is already anointed.","이 노드에는 이미 무자비한 꿰뚫기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Merciless Skewering changes nothing.","무자비한 꿰뚫기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Merciless Skewering will give you","무자비한 꿰뚫기 성유를 부으면 다음 효과를 제공"
"Anointing Might changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 완력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Might changes nothing because this node is already anointed.","이 노드에는 이미 완력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Might changes nothing.","완력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Might will give you","완력 성유를 부으면 다음 효과를 제공"
"Anointing Mind Drinker changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정신 흡수자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mind Drinker changes nothing because this node is already anointed.","이 노드에는 이미 정신 흡수자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Mind Drinker changes nothing.","정신 흡수자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mind Drinker will give you","정신 흡수자 성유를 부으면 다음 효과를 제공"
"Anointing Multishot changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 다중 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Multishot changes nothing because this node is already anointed.","이 노드에는 이미 다중 사격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Multishot changes nothing.","다중 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Multishot will give you","다중 사격 성유를 부으면 다음 효과를 제공"
"Anointing Mystic Bulwark changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신비한 방벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mystic Bulwark changes nothing because this node is already anointed.","이 노드에는 이미 신비한 방벽 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Mystic Bulwark changes nothing.","신비한 방벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mystic Bulwark will give you","신비한 방벽 성유를 부으면 다음 효과를 제공"
"Anointing Mystic Talents changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신비한 재능 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mystic Talents changes nothing because this node is already anointed.","이 노드에는 이미 신비한 재능 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Mystic Talents changes nothing.","신비한 재능 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mystic Talents will give you","신비한 재능 성유를 부으면 다음 효과를 제공"
"Anointing Mysticism changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신비주의 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mysticism changes nothing because this node is already anointed.","이 노드에는 이미 신비주의 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Mysticism changes nothing.","신비주의 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Mysticism will give you","신비주의 성유를 부으면 다음 효과를 제공"
"Anointing Natural Authority changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 타고난 권위 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Natural Authority changes nothing because this node is already anointed.","이 노드에는 이미 타고난 권위 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Natural Authority changes nothing.","타고난 권위 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Natural Authority will give you","타고난 권위 성유를 부으면 다음 효과를 제공"
"Anointing Natural Remedies changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 자연 요법 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Natural Remedies changes nothing because this node is already anointed.","이 노드에는 이미 자연 요법 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Natural Remedies changes nothing.","자연 요법 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Natural Remedies will give you","자연 요법 성유를 부으면 다음 효과를 제공"
"Anointing Nightstalker changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 밤추적자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Nightstalker changes nothing because this node is already anointed.","이 노드에는 이미 밤추적자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Nightstalker changes nothing.","밤추적자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Nightstalker will give you","밤추적자 성유를 부으면 다음 효과를 제공"
"Anointing Nimbleness changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기민함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Nimbleness changes nothing because this node is already anointed.","이 노드에는 이미 기민함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Nimbleness changes nothing.","기민함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Nimbleness will give you","기민함 성유를 부으면 다음 효과를 제공"
"Anointing One With Nature changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 자연과의 일체화 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing One With Nature changes nothing because this node is already anointed.","이 노드에는 이미 자연과의 일체화 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing One With Nature changes nothing.","자연과의 일체화 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing One With Nature will give you","자연과의 일체화 성유를 부으면 다음 효과를 제공"
"Anointing One with the River changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 강에 선 사람 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing One with the River changes nothing because this node is already anointed.","이 노드에는 이미 강에 선 사람 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing One with the River changes nothing.","강에 선 사람 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing One with the River will give you","강에 선 사람 성유를 부으면 다음 효과를 제공"
"Anointing Overcharge changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 과충전 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Overcharge changes nothing because this node is already anointed.","이 노드에는 이미 과충전 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Overcharge changes nothing.","과충전 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Overcharge will give you","과충전 성유를 부으면 다음 효과를 제공"
"Anointing Overcharged changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 과충전 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Overcharged changes nothing because this node is already anointed.","이 노드에는 이미 과충전 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Overcharged changes nothing.","과충전 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Overcharged will give you","과충전 성유를 부으면 다음 효과를 제공"
"Anointing Overprepared changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 준비 과다 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Overprepared changes nothing because this node is already anointed.","이 노드에는 이미 준비 과다 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Overprepared changes nothing.","준비 과다 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Overprepared will give you","준비 과다 성유를 부으면 다음 효과를 제공"
"Anointing Pain Forger changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 거짓 고통 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Pain Forger changes nothing because this node is already anointed.","이 노드에는 이미 거짓 고통 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Pain Forger changes nothing.","거짓 고통 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Pain Forger will give you","거짓 고통 성유를 부으면 다음 효과를 제공"
"Anointing Panopticon changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 원형 감옥 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Panopticon changes nothing because this node is already anointed.","이 노드에는 이미 원형 감옥 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Panopticon changes nothing.","원형 감옥 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Panopticon will give you","원형 감옥 성유를 부으면 다음 효과를 제공"
"Anointing Path of the Hunter changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 사냥꾼의 길 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Path of the Hunter changes nothing because this node is already anointed.","이 노드에는 이미 사냥꾼의 길 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Path of the Hunter changes nothing.","사냥꾼의 길 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Path of the Hunter will give you","사냥꾼의 길 성유를 부으면 다음 효과를 제공"
"Anointing Path of the Savant changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 학자의 길 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Path of the Savant changes nothing because this node is already anointed.","이 노드에는 이미 학자의 길 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Path of the Savant changes nothing.","학자의 길 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Path of the Savant will give you","학자의 길 성유를 부으면 다음 효과를 제공"
"Anointing Path of the Warrior changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 전사의 길 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Path of the Warrior changes nothing because this node is already anointed.","이 노드에는 이미 전사의 길 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Path of the Warrior changes nothing.","전사의 길 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Path of the Warrior will give you","전사의 길 성유를 부으면 다음 효과를 제공"
"Anointing Perfectionist changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 완벽주의자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Perfectionist changes nothing because this node is already anointed.","이 노드에는 이미 완벽주의자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Perfectionist changes nothing.","완벽주의자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Perfectionist will give you","완벽주의자 성유를 부으면 다음 효과를 제공"
"Anointing Persistence changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 지속성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Persistence changes nothing because this node is already anointed.","이 노드에는 이미 지속성 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Persistence changes nothing.","지속성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Persistence will give you","지속성 성유를 부으면 다음 효과를 제공"
"Anointing Physique changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 체격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Physique changes nothing because this node is already anointed.","이 노드에는 이미 체격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Physique changes nothing.","체격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Physique will give you","체격 성유를 부으면 다음 효과를 제공"
"Anointing Piercing Shots changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 관통 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Piercing Shots changes nothing because this node is already anointed.","이 노드에는 이미 관통 사격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Piercing Shots changes nothing.","관통 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Piercing Shots will give you","관통 사격 성유를 부으면 다음 효과를 제공"
"Anointing Poisonous Fangs changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 독성 송곳니 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Poisonous Fangs changes nothing because this node is already anointed.","이 노드에는 이미 독성 송곳니 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Poisonous Fangs changes nothing.","독성 송곳니 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Poisonous Fangs will give you","독성 송곳니 성유를 부으면 다음 효과를 제공"
"Anointing Potency of Will changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 의지의 잠재력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Potency of Will changes nothing because this node is already anointed.","이 노드에는 이미 의지의 잠재력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Potency of Will changes nothing.","의지의 잠재력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Potency of Will will give you","의지의 잠재력 성유를 부으면 다음 효과를 제공"
"Anointing Potent Connections changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 위력적인 연결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Potent Connections changes nothing because this node is already anointed.","이 노드에는 이미 위력적인 연결 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Potent Connections changes nothing.","위력적인 연결 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Potent Connections will give you","위력적인 연결 성유를 부으면 다음 효과를 제공"
"Anointing Powerful Bond changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 강력한 유대 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Powerful Bond changes nothing because this node is already anointed.","이 노드에는 이미 강력한 유대 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Powerful Bond changes nothing.","강력한 유대 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Powerful Bond will give you","강력한 유대 성유를 부으면 다음 효과를 제공"
"Anointing Practical Application changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 현실적 응용 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Practical Application changes nothing because this node is already anointed.","이 노드에는 이미 현실적 응용 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Practical Application changes nothing.","현실적 응용 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Practical Application will give you","현실적 응용 성유를 부으면 다음 효과를 제공"
"Anointing Precision changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정밀함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Precision changes nothing because this node is already anointed.","이 노드에는 이미 정밀함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Precision changes nothing.","정밀함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Precision will give you","정밀함 성유를 부으면 다음 효과를 제공"
"Anointing Presage changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 흉조 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Presage changes nothing because this node is already anointed.","이 노드에는 이미 흉조 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Presage changes nothing.","흉조 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Presage will give you","흉조 성유를 부으면 다음 효과를 제공"
"Anointing Primal Manifestation changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 원시의 현신 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Primal Manifestation changes nothing because this node is already anointed.","이 노드에는 이미 원시의 현신 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Primal Manifestation changes nothing.","원시의 현신 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Primal Manifestation will give you","원시의 현신 성유를 부으면 다음 효과를 제공"
"Anointing Primal Spirit changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 원시 혼백 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Primal Spirit changes nothing because this node is already anointed.","이 노드에는 이미 원시 혼백 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Primal Spirit changes nothing.","원시 혼백 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Primal Spirit will give you","원시 혼백 성유를 부으면 다음 효과를 제공"
"Anointing Primeval Force changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 원시적인 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Primeval Force changes nothing because this node is already anointed.","이 노드에는 이미 원시적인 힘 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Primeval Force changes nothing.","원시적인 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Primeval Force will give you","원시적인 힘 성유를 부으면 다음 효과를 제공"
"Anointing Prism Weave changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 빛의 매듭 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prism Weave changes nothing because this node is already anointed.","이 노드에는 이미 빛의 매듭 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Prism Weave changes nothing.","빛의 매듭 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prism Weave will give you","빛의 매듭 성유를 부으면 다음 효과를 제공"
"Anointing Prismatic Skin changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 분광 피부 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prismatic Skin changes nothing because this node is already anointed.","이 노드에는 이미 분광 피부 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Prismatic Skin changes nothing.","분광 피부 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prismatic Skin will give you","분광 피부 성유를 부으면 다음 효과를 제공"
"Anointing Prodigal Perfection changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 사치스러운 마무리 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prodigal Perfection changes nothing because this node is already anointed.","이 노드에는 이미 사치스러운 마무리 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Prodigal Perfection changes nothing.","사치스러운 마무리 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prodigal Perfection will give you","사치스러운 마무리 성유를 부으면 다음 효과를 제공"
"Anointing Profane Chemistry changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 부정한 반응 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Profane Chemistry changes nothing because this node is already anointed.","이 노드에는 이미 부정한 반응 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Profane Chemistry changes nothing.","부정한 반응 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Profane Chemistry will give you","부정한 반응 성유를 부으면 다음 효과를 제공"
"Anointing Proficiency changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 숙달 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Proficiency changes nothing because this node is already anointed.","이 노드에는 이미 숙달 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Proficiency changes nothing.","숙달 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Proficiency will give you","숙달 성유를 부으면 다음 효과를 제공"
"Anointing Prowess changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기량 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prowess changes nothing because this node is already anointed.","이 노드에는 이미 기량 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Prowess changes nothing.","기량 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Prowess will give you","기량 성유를 부으면 다음 효과를 제공"
"Anointing Purity of Flesh changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 육체의 정화 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Purity of Flesh changes nothing because this node is already anointed.","이 노드에는 이미 육체의 정화 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Purity of Flesh changes nothing.","육체의 정화 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Purity of Flesh will give you","육체의 정화 성유를 부으면 다음 효과를 제공"
"Anointing Quick Recovery changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 빠른 회복 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Quick Recovery changes nothing because this node is already anointed.","이 노드에는 이미 빠른 회복 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Quick Recovery changes nothing.","빠른 회복 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Quick Recovery will give you","빠른 회복 성유를 부으면 다음 효과를 제공"
"Anointing Quickstep changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 빠른 걸음 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Quickstep changes nothing because this node is already anointed.","이 노드에는 이미 빠른 걸음 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Quickstep changes nothing.","빠른 걸음 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Quickstep will give you","빠른 걸음 성유를 부으면 다음 효과를 제공"
"Anointing Rampart changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 성벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Rampart changes nothing because this node is already anointed.","이 노드에는 이미 성벽 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Rampart changes nothing.","성벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Rampart will give you","성벽 성유를 부으면 다음 효과를 제공"
"Anointing Ravenous Horde changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 굶주린 패거리 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ravenous Horde changes nothing because this node is already anointed.","이 노드에는 이미 굶주린 패거리 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Ravenous Horde changes nothing.","굶주린 패거리 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Ravenous Horde will give you","굶주린 패거리 성유를 부으면 다음 효과를 제공"
"Anointing Razor's Edge changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 예리한 날 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Razor's Edge changes nothing because this node is already anointed.","이 노드에는 이미 예리한 날 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Razor's Edge changes nothing.","예리한 날 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Razor's Edge will give you","예리한 날 성유를 부으면 다음 효과를 제공"
"Anointing Redemption changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 구원 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Redemption changes nothing because this node is already anointed.","이 노드에는 이미 구원 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Redemption changes nothing.","구원 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Redemption will give you","구원 성유를 부으면 다음 효과를 제공"
"Anointing Reflexes changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 반사신경 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Reflexes changes nothing because this node is already anointed.","이 노드에는 이미 반사신경 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Reflexes changes nothing.","반사신경 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Reflexes will give you","반사신경 성유를 부으면 다음 효과를 제공"
"Anointing Relentless Pursuit changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 집요한 추적 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Relentless Pursuit changes nothing because this node is already anointed.","이 노드에는 이미 집요한 추적 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Relentless Pursuit changes nothing.","집요한 추적 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Relentless Pursuit will give you","집요한 추적 성유를 부으면 다음 효과를 제공"
"Anointing Relentless changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 집요 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Relentless changes nothing because this node is already anointed.","이 노드에는 이미 집요 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Relentless changes nothing.","집요 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Relentless will give you","집요 성유를 부으면 다음 효과를 제공"
"Anointing Replenishing Remedies changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 회복 요법 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Replenishing Remedies changes nothing because this node is already anointed.","이 노드에는 이미 회복 요법 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Replenishing Remedies changes nothing.","회복 요법 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Replenishing Remedies will give you","회복 요법 성유를 부으면 다음 효과를 제공"
